DISTRICT: DINAJPUR
UPAZILLA: BIRAMPUR
TOTAL INSTITUTIONS: 36

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
119978 119964 119984 119981 138983 119958 119974 119959 119971 119957 119987 119975 119980 119973 119969 119955 119962 119983 119982 119963 119976 119988 119972 119965 119966 119967 119986 119989 119977 119953 119960 120072 119961 119956 119954 119970

--- INSTITUTION DETAILS ---
 1. EIIN: 119978 | Code: 7724  | MIRZAPUR HIGH SCHOOL, DINAJPUR
 2. EIIN: 119964 | Code: 8900  | DEBIPUR HIGH SCHOOL, DINAJPUR
 3. EIIN: 119984 | Code: 8125  | CHALK HARIDASPUR HIGH SCHOOL, DINAJPUR
 4. EIIN: 119981 | Code: 7538  | BEPARITOLA HIGH SCHOOL, DINAJPUR
 5. EIIN: 138983 | Code: 8130  | DHANJURI SAINT FRANCIS HIGH SCHOOL, DINAJPUR
 6. EIIN: 119958 | Code: 7703  | SHIBPUR HIGH SCHOOL, DINAJPUR
 7. EIIN: 119974 | Code: 7712  | AMANULLA ADARSHA VIDDYA NIKETAN, DINAJPUR
 8. EIIN: 119959 | Code: 7705  | MOHANPUR HIGH SCHOOL, DINAJPUR
 9. EIIN: 119971 | Code: 7713  | KETRA HIGH SCHOOL, DINAJPUR
10. EIIN: 119957 | Code: 7706  | EKAIR MONGOLPUR HIGH SCHOOL, DINAJPUR
11. EIIN: 119987 | Code: 8126  | UTTAR RAMCHANDRAPUR, DINAJPUR
12. EIIN: 119975 | Code: 7714  | BIRAMPUR UPAZILLA COLLEGIATE HIGH SCHOOL, DINAJPUR
13. EIIN: 119980 | Code: 7722  | DURGAPUR HIGH SCHOOL, DINAJPUR
14. EIIN: 119973 | Code: 7711  | TEGRA TAKIPUR HIGH SCHOOL, DINAJPUR
15. EIIN: 119969 | Code: 7717  | BIJUL MODEL HIGH SCHOOL, DINAJPUR
16. EIIN: 119955 | Code: 7701  | BIRAMPUR GOVT. GIRLS' HIGH SCHOOL, DINAJPUR
17. EIIN: 119962 | Code: 7716  | GONGAPUR HIGH SCHOOL, DINAJPUR
18. EIIN: 119983 | Code: 1291  | ADARSHA HIGH SCHOOL BIRAMPUR, DINAJPUR
19. EIIN: 119982 | Code: 7720  | SHIMULTALI GIRLS' HIGH SCHOOL, DINAJPUR
20. EIIN: 119963 | Code: 7704  | KATLA HIGH SCHOOL, DINAJPUR
21. EIIN: 119976 | Code: 1345  | SHIALA HIGH SCHOOL, DINAJPUR
22. EIIN: 119988 | Code: 8129  | SANTINAGAR HIGH SCHOOL, DINAJPUR
23. EIIN: 119972 | Code: 1336  | PALIKHANPUR HIGH SCHOOL, DINAJPUR
24. EIIN: 119965 | Code: 7709  | PROSTAMPUR HIGH SCHOOL, DINAJPUR
25. EIIN: 119966 | Code: 7710  | HABIBPUR BI-LATERAL HIGH SCHOOL, DINAJPUR
26. EIIN: 119967 | Code: 7719  | RATANPUR HIGH SCHOOL, DINAJPUR
27. EIIN: 119986 | Code: 7721  | BIRAMPUR PAURASHABHA HIGH SCHOOL, DINAJPUR
28. EIIN: 119989 | Code: 8128  | DIOR SHOULA HIGH SCHOOL, DINAJPUR
29. EIIN: 119977 | Code: 1313  | HARIHARPUR HIGH SCHOOL, DINAJPUR
30. EIIN: 119953 | Code: 8127  | KACHUA MIRJAPUR GIRLS' HIGH SCHOOL, DINAJPUR
31. EIIN: 119960 | Code: 7702  | RAMKRISHNAPUR B. L. HIGH SCHOOL, DINAJPUR
32. EIIN: 120072 | Code: 7718  | KOCHGRAM HIGH SCHOOL, DINAJPUR
33. EIIN: 119961 | Code: 7708  | DESHMA DWI-MUKHI HIGH SCHOOL, DINAJPUR
34. EIIN: 119956 | Code: 7700  | BIRAMPUR PILOT HIGH SCHOOL, DINAJPUR
35. EIIN: 119954 | Code: 7723  | BIZUL GIRLS' HIGH SCHOOL, DINAJPUR
36. EIIN: 119970 | Code: 7707  | BINAIL HIGH SCHOOL, DINAJPUR
