DISTRICT: DINAJPUR
UPAZILLA: BOCHAGANJ
TOTAL INSTITUTIONS: 46

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
120244 120237 120213 120219 120221 135104 120208 120223 120240 120251 120209 120225 120236 120228 120226 120222 120231 120242 120245 120217 120246 120239 120234 120216 120214 120205 139711 120241 120243 120206 120233 120250 120218 120204 120212 120224 120207 120235 120215 120211 120238 120229 120230 120220 120247 120210

--- INSTITUTION DETAILS ---
 1. EIIN: 120244 | Code: 8062  | MONIPUR HIGH SCHOOL, DINAJPUR
 2. EIIN: 120237 | Code: 7646  | MURIALA PULHAT HIGH SCHOOL, DINAJPUR
 3. EIIN: 120213 | Code: 7633  | CHHOTO SULTANPUR HIGH SCHOOL, DINAJPUR
 4. EIIN: 120219 | Code: 7635  | BARA SULTANPUR HIGH SCHOOL, DINAJPUR
 5. EIIN: 120221 | Code: 7639  | VADUARI HIGH SCHOOL, DINAJPUR
 6. EIIN: 135104 | Code: 8066  | IDEAL HIGH SCHOOL, DINAJPUR
 7. EIIN: 120208 | Code: 7642  | SETABGANJ CHINIKAL HIGH SCHOOL, DINAJPUR
 8. EIIN: 120223 | Code: 1296  | FUTKIBARI HIGH SCHOOL, DINAJPUR
 9. EIIN: 120240 | Code: 8050  | ADARSHA HIGH SCHOOL, DINAJPUR
10. EIIN: 120251 | Code: 8058  | SETAB GONJ IDEAL ACADEMY, DINAJPUR
11. EIIN: 120209 | Code: 7636  | ANORA HIGH SCHOOL, DINAJPUR
12. EIIN: 120225 | Code: 1317  | KONGSHARA KERALGAON DOHARA GABARIPUR HIGH SCHOOL, DINAJPUR
13. EIIN: 120236 | Code: 7643  | SHAHASPUR IDEAL HIGH SCHOOL, DINAJPUR
14. EIIN: 120228 | Code: 8053  | SANKAI HIGH SCHOOL, DINAJPUR
15. EIIN: 120226 | Code: 8904  | JONGLI PIR HIGH SCHOOL, DINAJPUR
16. EIIN: 120222 | Code: 7641  | BHANDAR KHONDA HIGH SCHOOL, DINAJPUR
17. EIIN: 120231 | Code: 8054  | GOBINDAPUR ADARSHA HIGH SCHOOL, DINAJPUR
18. EIIN: 120242 | Code: 8057  | KARAI HIGH SCHOOL, DINAJPUR
19. EIIN: 120245 | Code: 8064  | BAKULTALA GIRLS' HIGH SCHOOL, DINAJPUR
20. EIIN: 120217 | Code: 7637  | RANAGAON HIGH SCHOOL, DINAJPUR
21. EIIN: 120246 | Code: 8065  | JOSSORE BELBASH SREETY GIRLS' HIGH SCHOOL, DINAJPUR
22. EIIN: 120239 | Code: 8051  | CHAPAITOR HIGH SCHOOL, DINAJPUR
23. EIIN: 120234 | Code: 8063  | TATARA HIGH SCHOOL, DINAJPUR
24. EIIN: 120216 | Code: 7630  | DOULA HIGH SCHOOL, DINAJPUR
25. EIIN: 120214 | Code: 7632  | DAULATPUR HIGH SCHOOL, DINAJPUR
26. EIIN: 120205 | Code: 7625  | SETABGANJ GOVT. PILOT MODEL HIGH SCHOOL, DINAJPUR
27. EIIN: 139711 | Code: 8067  | BOCHAGANJ MODEL SCHOOL, DINAJPUR
28. EIIN: 120241 | Code: 8061  | DEUR HIGH SCHOOL, DINAJPUR
29. EIIN: 120243 | Code: 5689  | BARA SULTANPUR GIRLS' HIGH SCHOOL, DINAJPUR
30. EIIN: 120206 | Code: 7628  | MOLLAPARA HIGH SCHOOL, DINAJPUR
31. EIIN: 120233 | Code: 7644  | BAJNIA HIGH SCHOOL, DINAJPUR
32. EIIN: 120250 | Code: 8060  | ATGAON GIRLS' HIGH SCHOOL, DINAJPUR
33. EIIN: 120218 | Code: 8903  | ISHANIA SCHEDULED CASTE HIGH SCHOOL, DINAJPUR
34. EIIN: 120204 | Code: 7626  | SETABGANJ GIRLS' HIGH SCHOOL, DINAJPUR
35. EIIN: 120212 | Code: 7638  | CHANDIPUR MOBARAKPUR HIGH SCHOOL, DINAJPUR
36. EIIN: 120224 | Code: 1299  | GOPALPUR HIGH SCHOOL, DINAJPUR
37. EIIN: 120207 | Code: 7627  | NEHALGAON HIGH SCHOOL, DINAJPUR
38. EIIN: 120235 | Code: 8052  | KHANGAON HIGH SCHOOL, DINAJPUR
39. EIIN: 120215 | Code: 7631  | MATIZAPUR HIGH SCHOOL, DINAJPUR
40. EIIN: 120211 | Code: 7634  | ATGAON HIGH SCHOOL, DINAJPUR
41. EIIN: 120238 | Code: 8055  | KODAL KATI HIGH SCHOOL, DINAJPUR
42. EIIN: 120229 | Code: 8056  | MOHESPUR ADIBASI HIGH SCHOOL, DINAJPUR
43. EIIN: 120230 | Code: 7645  | MURARIPUR HIGH SCHOOL, DINAJPUR
44. EIIN: 120220 | Code: 7640  | HARIPUR SCHEDULED CASTE HIGH SCHOOL, DINAJPUR
45. EIIN: 120247 | Code: 8059  | SOHEL SREETY ADARSHA HIGH SCHOOL, DINAJPUR
46. EIIN: 120210 | Code: 7629  | BATASON BILATERAL HIGH SCHOOL, DINAJPUR
