DISTRICT: DINAJPUR
UPAZILLA: DINAJPUR SADAR
TOTAL INSTITUTIONS: 78

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
120740 120751 120753 135323 139814 120744 120728 120750 120762 120734 120780 120763 120732 120721 120717 120743 120765 120758 135372 120749 138854 120772 120724 135794 120716 120775 120735 120727 120725 120733 120730 120718 120746 120722 135293 120774 120771 120736 120752 120709 120715 120719 120755 120747 120778 120741 120757 120710 120711 120726 136264 120770 136289 120708 120768 120748 120742 120729 120714 120756 120769 138405 120723 120759 120766 120760 120739 120737 120779 136776 120731 120831 120764 120712 120745 120830 120829 120773

--- INSTITUTION DETAILS ---
 1. EIIN: 120740 | Code: 7532  | SHASHARA HIGH SCHOOL, DINAJPUR
 2. EIIN: 120751 | Code: 7546  | ADARSHA HIGH SCHOOL, DINAJPUR
 3. EIIN: 120753 | Code: 8915  | SUNDARBAN HIGH SCHOOL, DINAJPUR
 4. EIIN: 135323 | Code: 8111  | DINAJPUR COLLECTORATE SCHOOL AND COLLEGE, DINAJPUR
 5. EIIN: 139814 | Code: 8119  | GOPALGANJ PILOT SCHOOL AND COLLEGE, DINAJPUR
 6. EIIN: 120744 | Code: 7526  | DIGHON SCHEDULED CASTE HIGH SCHOOL, DINAJPUR
 7. EIIN: 120728 | Code: 7525  | PANCHBARI B/L HIGH SCHOOL, DINAJPUR
 8. EIIN: 120750 | Code: 7536  | CRESENT KINDER GARTEN & GIRLS' HIGH SCHOOL, DINAJPUR
 9. EIIN: 120762 | Code: 7542  | RANIGANJ RAJOT BASAK GIRLS' HIGH SCHOOL, DINAJPUR
10. EIIN: 120734 | Code: 7534  | BARAIPUR HIGH SCHOOL, DINAJPUR
11. EIIN: 120780 | Code: 8107  | KUSUMBI ADARSHA SECONDARY SCHOOL, DINAJPUR
12. EIIN: 120763 | Code: 7543  | BANTARA (BALUPARA) HIGH SCHOOL, DINAJPUR
13. EIIN: 120732 | Code: 7521  | SHANKARPUR MUSHITULLA BI-LATERAL HIGH SCHOOL, DINAJPUR
14. EIIN: 120721 | Code: 8200  | HAJEE MOHAMMAD DANESH SCIENCE & TECHNOLOGY UNIVERSITY SCHOOL, DINAJPUR
15. EIIN: 120717 | Code: 8911  | POLICE LINE HIGH SCHOOL, DINAJPUR
16. EIIN: 120743 | Code: 7529  | PURBA PARGAON PRAN KUMAR HIGH SCHOOL, DINAJPUR
17. EIIN: 120765 | Code: 8108  | MURADPUR SAHEBDANGA GIRLS' HIGH SCHOOL, DINAJPUR
18. EIIN: 120758 | Code: 7582  | PARBATIPUR HIGH SCHOOL, DINAJPUR
19. EIIN: 135372 | Code: 8115  | HOLY LAND COLLEGE, DINAJPUR
20. EIIN: 120749 | Code: 7530  | TAFI UDDIN MEMORIAL HIGH SCHOOL, DINAJPUR
21. EIIN: 138854 | Code: 8117  | NOVARA HIGH SCHOOL, DINAJPUR
22. EIIN: 120772 | Code: 8100  | MANIKPIR HIGH SCHOOL, DINAJPUR
23. EIIN: 120724 | Code: 7502  | DINAJPUR HIGH SCHOOL, DINAJPUR
24. EIIN: 135794 | Code: 8114  | CAREY MEMORIAL HIGH SCHOOL, DINAJPUR
25. EIIN: 120716 | Code: 7505  | MAHARAJA GIRIJANATH HIGH SCHOOL, DINAJPUR
26. EIIN: 120775 | Code: 8104  | GHOSHPUR HIGH SCHOOL, DINAJPUR
27. EIIN: 120735 | Code: 7519  | JOYDEBPUR BI-LATERAL HIGH SCHOOL, DINAJPUR
28. EIIN: 120727 | Code: 7531  | GHUGHUDANGA HIGH SCHOOL AND COLLEGE, DINAJPUR
29. EIIN: 120725 | Code: 7517  | IDGAH GIRLS' HIGH SCHOOL, DINAJPUR
30. EIIN: 120733 | Code: 7509  | CHANDGANJ ALHAJ SOWARUDDIN MEMORIAL BILATERAL HIGH SCHOOL, DINAJPUR
31. EIIN: 120730 | Code: 7533  | PARAJPUR FASHILADANGA HIGH SCHOOL, DINAJPUR
32. EIIN: 120718 | Code: 7514  | DINAJPUR GOVT. GIRLS' HIGH SCHOOL, DINAJPUR
33. EIIN: 120746 | Code: 8983  | MOHANPUR HIGH SCHOOL, DINAJPUR
34. EIIN: 120722 | Code: 7515  | SARADESHWARI GIRLS' HIGH SCHOOL, DINAJPUR
35. EIIN: 135293 | Code: 8112  | BKSP REGIONAL TRAINING CENTER, DINAJPUR
36. EIIN: 120774 | Code: 8105  | RANIPUR HIGH SCHOOL, DINAJPUR
37. EIIN: 120771 | Code: 8103  | KARIMULLAPUR HIGH SCHOOL, DINAJPUR
38. EIIN: 120736 | Code: 7522  | PANCHKUR BI-LATERAL HIGH SCHOOL, DINAJPUR
39. EIIN: 120752 | Code: 8965  | AL-AMIN INSTITUTE HIGH SCHOOL, DINAJPUR
40. EIIN: 120709 | Code: 7547  | ATRAI HIGH SCHOOL, DINAJPUR
41. EIIN: 120715 | Code: 7507  | IQBAL HIGH SCHOOL, DINAJPUR
42. EIIN: 120719 | Code: 7500  | DINAJPUR ZILA SCHOOL, DINAJPUR
43. EIIN: 120755 | Code: 7540  | WAZIFA SAMAD SECONDARY GIRLS' HIGH SCHOOL, DINAJPUR
44. EIIN: 120747 | Code: 7537  | THAKURAIN HAT HIGH SCHOOL, DINAJPUR
45. EIIN: 120778 | Code: 8109  | BIRGOAN RANESA HIGH SCHOOL, DINAJPUR
46. EIIN: 120741 | Code: 7527  | UTHRAIL GOALHAT HIGH SCHOOL, DINAJPUR
47. EIIN: 120757 | Code: 7549  | SADARPUR HIGH SCHOOL, DINAJPUR
48. EIIN: 120710 | Code: 7506  | DINAJPUR ACADEMY, DINAJPUR
49. EIIN: 120711 | Code: 7520  | CHEHEL GAZI SHIKKSHA NIKETAN, DINAJPUR
50. EIIN: 120726 | Code: 7513  | DINAJPUR JUBILEE HIGH SCHOOL, DINAJPUR
51. EIIN: 136264 | Code: 8116  | SHOHID COLONEL KUDRAT ELAHI PUBLIC SCHOOL, DINAJPUR
52. EIIN: 120770 | Code: 7548  | KADER BOKSHA MEMORIAL COLLEGIATE HIGH SCHOOL, DINAJPUR
53. EIIN: 136289 | Code: 8118  | SAINT JOSEPH'S SCHOOL, DINAJPUR
54. EIIN: 120708 | Code: 7512  | RAMDUBI HAT B.L. HIGH SCHOOL, DINAJPUR
55. EIIN: 120768 | Code: 7541  | MOHARAJPUR HIGH SCHOOL, DINAJPUR
56. EIIN: 120748 | Code: 7535  | KASHIPUR SECONDARY SCHOOL, DINAJPUR
57. EIIN: 120742 | Code: 7523  | DANIHARI HIGH SCHOOL, DINAJPUR
58. EIIN: 120729 | Code: 7524  | BARAGRAM B.L.HIGH SCHOOL, DINAJPUR
59. EIIN: 120714 | Code: 7503  | CHERADANGI HIGH SCHOOL, DINAJPUR
60. EIIN: 120756 | Code: 7539  | MAKIHARI HIGH SCHOOL, DINAJPUR
61. EIIN: 120769 | Code: 7545  | SHAHID ZAMIR UDDIN GIRLS' HIGH SCHOOL, DINAJPUR
62. EIIN: 138405 | Code: 8120  | ROYAL RESIDENTIAL SCHOOL, DINAJPUR
63. EIIN: 120723 | Code: 7501  | ST. PHILIP'S HIGH SCHOOL AND COLLEGE, DINAJPUR
64. EIIN: 120759 | Code: 7544  | KISAMAT MADHABPUR HIGH SCHOOL, DINAJPUR
65. EIIN: 120766 | Code: 8101  | UTTAR GOSAIPUR IDIAL HIGH SCHOOL, DINAJPUR
66. EIIN: 120760 | Code: 8102  | RAJARAMPUR GIRLS' HIGH SCHOOL, DINAJPUR
67. EIIN: 120739 | Code: 7518  | SYEDPUR SHIKDERGANJ GIRLS' HIGH SCHOOL, DINAJPUR
68. EIIN: 120737 | Code: 7511  | KHANPUR HIGH SCHOOL, DINAJPUR
69. EIIN: 120779 | Code: 8110  | SUNDORA ADARSHA HIGH SCHOOL, DINAJPUR
70. EIIN: 136776 | Code: 8113  | SAINT FRANCIS XAVIER SCHOOL, DINAJPUR
71. EIIN: 120731 | Code: 7528  | MURADPUR HIGH SCHOOL, DINAJPUR
72. EIIN: 120831 | Code: 7504  | RANIGANJ EHIA HOSSAIN HIGH SCHOOL & COLLEGE, DINAJPUR
73. EIIN: 120764 | Code: 1331  | MURARIPUR HIGH SCHOOL, DINAJPUR
74. EIIN: 120712 | Code: 7508  | DINAJPUR MUNICIPAL HIGH SCHOOL, DINAJPUR
75. EIIN: 120745 | Code: 8902  | GODAGARI HIGH SCHOOL, DINAJPUR
76. EIIN: 120830 | Code: 7516  | COLLEGIATE GIRLS' HIGH SCHOOL & COLLEGE, DINAJPUR
77. EIIN: 120829 | Code: 7510  | NASHIPUR HIGH SCHOOL, DINAJPUR
78. EIIN: 120773 | Code: 8106  | NUNAICH HAZI KACHU MD. HIGH SCHOOL, DINAJPUR
