DISTRICT: DINAJPUR
UPAZILLA: FULBARI
TOTAL INSTITUTIONS: 34

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
120428 120407 120402 120404 120405 120415 131042 120406 120412 120424 120416 120434 120400 120417 120403 120413 120420 120414 138327 120423 120408 120456 120409 120410 120419 120422 120421 120426 120401 120418 120430 120411 120454 120429

--- INSTITUTION DETAILS ---
 1. EIIN: 120428 | Code: 7671  | CHAKMATHURA HIGH SCHOOL, DINAJPUR
 2. EIIN: 120407 | Code: 7654  | MELABARI HIGH SCHOOL, DINAJPUR
 3. EIIN: 120402 | Code: 7655  | RUDRANI SCHOOL AND COLLEGE, DINAJPUR
 4. EIIN: 120404 | Code: 7653  | SHIDDISHI HIGH SCHOOL, DINAJPUR
 5. EIIN: 120405 | Code: 8916  | UTTAR SHIBPUR HIGH SCHOOL, DINAJPUR
 6. EIIN: 120415 | Code: 1333  | SARSAWTIPUR SREERAMPUR HIGH SCHOOL, DINAJPUR
 7. EIIN: 131042 | Code: 8225  | RAMESHWARPUR IDEAL HIGH SCHOOL, DINAJPUR
 8. EIIN: 120406 | Code: 7715  | DOULATPUR UNION HIGH SCHOOL, DINAJPUR
 9. EIIN: 120412 | Code: 7662  | NANDIGRAM HIGH SCHOOL, DINAJPUR
10. EIIN: 120424 | Code: 8027  | SHAMSER NAGOR ADARSHO HIGH SCHOOL, DINAJPUR
11. EIIN: 120416 | Code: 8908  | MIRPUR HIGH SCHOOL, DINAJPUR
12. EIIN: 120434 | Code: 8029  | CHAKSAHABAJPUR ADARSHO HIGH SCHOOL, DINAJPUR
13. EIIN: 120400 | Code: 7652  | SUJAPUR GOVT. MODEL HIGH SCHOOL, DINAJPUR
14. EIIN: 120417 | Code: 7666  | CHANDPARA HIGH SCHOOL, DINAJPUR
15. EIIN: 120403 | Code: 7650  | PHULBARI GOLAM MOSTOFA PILOT HIGH SCHOOL, DINAJPUR
16. EIIN: 120413 | Code: 7656  | DADUL CHAKIAPARA HIGH SCHOOL, DINAJPUR
17. EIIN: 120420 | Code: 7884  | BETDIGHI HIGH SCHOOL, DINAJPUR
18. EIIN: 120414 | Code: 7657  | CHOURAIT MAHESHPUR HIGH SCHOOL, DINAJPUR
19. EIIN: 138327 | Code: 8028  | BIR MUKTIJODDHA MOSTAFIZUR RAHMAN INSTITUTE, DINAJPUR
20. EIIN: 120423 | Code: 7672  | JOYNAGAR HIGH SCHOOL, DINAJPUR
21. EIIN: 120408 | Code: 7663  | KHOIRBARI HIGH SCHOOL, DINAJPUR
22. EIIN: 120456 | Code: 7659  | UTTAR LAKSMIPUR HIGH SCHOOL, DINAJPUR
23. EIIN: 120409 | Code: 7651  | FULBARI PILOT GIRLS' HIGH SCHOOL, DINAJPUR
24. EIIN: 120410 | Code: 7674  | KHAYER BARI MONOMOHAN GIRLS' HIGH SCHOOL, DINAJPUR
25. EIIN: 120419 | Code: 8910  | MURARIPUR HIGH SCHOOL, DINAJPUR
26. EIIN: 120422 | Code: 7673  | FULBARI COLLEGIATE HIGH SCHOOL, DINAJPUR
27. EIIN: 120421 | Code: 1295  | DAULATPUR UNION GIRLS' HIGH SCHOOL, DINAJPUR
28. EIIN: 120426 | Code: 8025  | GOALPARA HIGH SCHOOL, DINAJPUR
29. EIIN: 120401 | Code: 7658  | RAJARAMPUR S. U. HIGH SCHOOL, DINAJPUR
30. EIIN: 120418 | Code: 8912  | RANGAMATI HIGH SCHOOL, DINAJPUR
31. EIIN: 120430 | Code: 8026  | PHULBARI MODEL HIGH SCHOOL, DINAJPUR
32. EIIN: 120411 | Code: 7661  | RAMBHADRAPUR HIGH SCHOOL, DINAJPUR
33. EIIN: 120454 | Code: 7660  | PUKHURI HIGH SCHOOL, DINAJPUR
34. EIIN: 120429 | Code: 7670  | AMROBARI ADARSHA HIGH SCHOOL, DINAJPUR
