DISTRICT: DINAJPUR
UPAZILLA: GHORAGHAT
TOTAL INSTITUTIONS: 24

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
120472 120474 120476 120462 120466 120470 120463 120475 120479 120477 120469 120471 137022 120461 120468 120465 120458 120457 120460 137615 120464 120467 120459 120473

--- INSTITUTION DETAILS ---
 1. EIIN: 120472 | Code: 7804  | JOYRAMPUR HIGH SCHOOL, DINAJPUR
 2. EIIN: 120474 | Code: 7809  | CHACHURA HIGH SCHOOL, DINAJPUR
 3. EIIN: 120476 | Code: 7812  | RANIGONJ GIRLS' HIGH SCHOOL, DINAJPUR
 4. EIIN: 120462 | Code: 7802  | GHORAGHAT R. C. PILOT GIRLS' HIGH SCHOOL, DINAJPUR
 5. EIIN: 120466 | Code: 7803  | OSMANPUR GIRLS' HIGH SCHOOL, DINAJPUR
 6. EIIN: 120470 | Code: 7805  | KULANANDAPUR HIGH SCHOOL, DINAJPUR
 7. EIIN: 120463 | Code: 7828  | BALAGARI HIGH SCHOOL, DINAJPUR
 8. EIIN: 120475 | Code: 7808  | BARO PAIKER GAR HIGH SCHOOL, DINAJPUR
 9. EIIN: 120479 | Code: 7813  | SHALIKADAHA ADARSHA HIGH SCHOOL, DINAJPUR
10. EIIN: 120477 | Code: 7810  | PURAIL DUGDUGI HAT GIRLS' HIGH SCHOOL, DINAJPUR
11. EIIN: 120469 | Code: 7832  | VARNAPARA HIGH SCHOOL, DINAJPUR
12. EIIN: 120471 | Code: 7806  | BARATIPUR MODEL HIGH SCHOOL, DINAJPUR
13. EIIN: 137022 | Code: 7814  | RANIGONJ ADARSHA BIDYANIKETON, DINAJPUR
14. EIIN: 120461 | Code: 7827  | CHATSHAL BI LATERAL HIGH SCHOOL, DINAJPUR
15. EIIN: 120468 | Code: 8901  | DUGDUGI HAT HIGH SCHOOL, DINAJPUR
16. EIIN: 120465 | Code: 7826  | GOPALPUR SHAHIDA RASHID CHOWDHURY BILATERAL HIGH SCHOOL, DINAJPUR
17. EIIN: 120458 | Code: 7825  | BALAHAR BILATERAL HIGH SCHOOL, DINAJPUR
18. EIIN: 120457 | Code: 1335  | NURJAHANPUR RETIRD MILITARY COLONY HIGH SCHOOL, DINAJPUR
19. EIIN: 120460 | Code: 7829  | RANIGONJ GOVT. SECOND BILATERAL HIGH SCHOOL AND COLLEGE, DINAJPUR
20. EIIN: 137615 | Code: 7811  | ABIRERPARA ST. JOHN MARY VIANNEY HIGH SCHOOL, DINAJPUR
21. EIIN: 120464 | Code: 7800  | OSMANPUR HIGH SCHOOL, DINAJPUR
22. EIIN: 120467 | Code: 7831  | HARIPARA HIGH SCHOOL, DINAJPUR
23. EIIN: 120459 | Code: 7801  | GHORAGHAT KAILASH CHANDRA PILOT SCHOOL AND COLLEGE, DINAJPUR
24. EIIN: 120473 | Code: 7807  | GHORAGHAT SHA ISMAIL GAJI (R) GIRLS' HIGH SCHOOL, DINAJPUR
