DISTRICT: DINAJPUR
UPAZILLA: HAKIMPUR
TOTAL INSTITUTIONS: 19

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
120511 120507 120514 120521 120512 120510 120516 120519 120517 120505 120504 120503 120509 120506 120515 120508 120513 120518 120520

--- INSTITUTION DETAILS ---
 1. EIIN: 120511 | Code: 7782  | KOKTARA HIGH SCHOOL, DINAJPUR
 2. EIIN: 120507 | Code: 7780  | MONSHAPUR BI-LAT HIGH SCHOOL, DINAJPUR
 3. EIIN: 120514 | Code: 7787  | BANSHMURI HIGH SCHOOL, DINAJPUR
 4. EIIN: 120521 | Code: 7790  | NOWPARA GIRLS' HIGH SCHOOL, DINAJPUR
 5. EIIN: 120512 | Code: 8897  | BAONA HIGH SCHOOL, DINAJPUR
 6. EIIN: 120510 | Code: 7781  | JANGAI HIGH SCHOOL, DINAJPUR
 7. EIIN: 120516 | Code: 7788  | CHHATNI CHOUMUHANI IDEAL HIGH SCHOOL, DINAJPUR
 8. EIIN: 120519 | Code: 7789  | RIKARI BILETARAL HIGH SCHOOL, DINAJPUR
 9. EIIN: 120517 | Code: 7785  | BISHAPARA ADARSHA HIGH SCHOOL, DINAJPUR
10. EIIN: 120505 | Code: 7779  | PAUSHGARA HIGH SCHOOL, DINAJPUR
11. EIIN: 120504 | Code: 7775  | BANGLA HILI PILOT HIGH SCHOOL, DINAJPUR
12. EIIN: 120503 | Code: 7784  | DANGAPARA GIRLS' HIGH SCHOOL, DINAJPUR
13. EIIN: 120509 | Code: 7778  | KHATTA USNA HIGH SCHOOL, DINAJPUR
14. EIIN: 120506 | Code: 7776  | BANGLA HILI GOVT. GIRLS' HIGH SCHOOL, DINAJPUR
15. EIIN: 120515 | Code: 1334  | NAYANAGAR HIGH SCHOOL, DINAJPUR
16. EIIN: 120508 | Code: 7777  | BOALDER BILATERAL HIGH SCHOOL, DINAJPUR
17. EIIN: 120513 | Code: 7783  | JALALPUR B.L. HIGH SCHOOL, DINAJPUR
18. EIIN: 120518 | Code: 7786  | GOHARA B. L. HIGH SCHOOL, DINAJPUR
19. EIIN: 120520 | Code: 7791  | HATISO ADIBASI HIGH SCHOOL, DINAJPUR
