DISTRICT: DINAJPUR
UPAZILLA: KHANSAMA
TOTAL INSTITUTIONS: 48

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
120656 120614 120647 120628 120635 120611 120634 120618 120650 120641 120610 120633 120702 120617 120649 120704 120624 120659 120705 120663 120627 120639 120629 120613 120622 120638 120619 120615 120616 120281 120640 120637 120642 120623 120625 120636 120632 120630 120607 120631 120612 120620 120621 120653 120644 120608 120643 120657

--- INSTITUTION DETAILS ---
 1. EIIN: 120656 | Code: 7924  | DHARMAPUR HIGH SCHOOL, DINAJPUR
 2. EIIN: 120614 | Code: 7903  | ALOKJHARI HIGH SCHOOL, DINAJPUR
 3. EIIN: 120647 | Code: 7916  | ALLUKJHARI GIRLS' HIGH SCHOOL, DINAJPUR
 4. EIIN: 120628 | Code: 1297  | GOALDIHI GIRLS' HIGH SCHOOL, DINAJPUR
 5. EIIN: 120635 | Code: 7912  | CHAK SAKOA HIGH SCHOOL, DINAJPUR
 6. EIIN: 120611 | Code: 7902  | GOALDIHI HIGH SCHOOL, DINAJPUR
 7. EIIN: 120634 | Code: 7909  | PASCHIM BASULI HIGH SCHOOL, DINAJPUR
 8. EIIN: 120618 | Code: 7904  | SARHADDA HIGH SCHOOL, DINAJPUR
 9. EIIN: 120650 | Code: 7938  | KUTUB DANGA HIGH SCHOOL, DINAJPUR
10. EIIN: 120641 | Code: 7917  | DAKHIN GARPARA HIGH SCHOOL, DINAJPUR
11. EIIN: 120610 | Code: 7921  | UTTAR CHHATIAN GARH MIRZAPARA HIGH SCHOOL, DINAJPUR
12. EIIN: 120633 | Code: 1315  | JOBEDA BEGUM HIGH SCHOOL, DINAJPUR
13. EIIN: 120702 | Code: 7926  | KACHINIA HIGH SCHOOL AND COLLEGE, DINAJPUR
14. EIIN: 120617 | Code: 7927  | DUHA SHUHA M. L. HIGH SCHOOL, DINAJPUR
15. EIIN: 120649 | Code: 7914  | TANGUA HIGH SCHOOL, DINAJPUR
16. EIIN: 120704 | Code: 7925  | JAMIR UDDIN SHAH GIRLS' HIGH SCHOOL & COLLEGE, DINAJPUR
17. EIIN: 120624 | Code: 7907  | NALBARI HIGH SCHOOL, DINAJPUR
18. EIIN: 120659 | Code: 7940  | HASEMPUR AOUKARA MASHJID HIGH SCHOOL, DINAJPUR
19. EIIN: 120705 | Code: 7934  | SHAPLA GIRLS' SCHOOL & COLLEGE, DINAJPUR
20. EIIN: 120663 | Code: 7935  | KHAMAR BISHNUGANG ADORSHO GIRLS' HIGH SCHOOL, DINAJPUR
21. EIIN: 120627 | Code: 7933  | AKBAR ALI SHAH HIGH SCHOOL, DINAJPUR
22. EIIN: 120639 | Code: 7920  | NALBARI GIRLS' HIGH SCHOOL, DINAJPUR
23. EIIN: 120629 | Code: 1316  | KACHINIA GIRLS' HIGH SCHOOL, DINAJPUR
24. EIIN: 120613 | Code: 7929  | NEW PAKER HAT HIGH SCHOOL, DINAJPUR
25. EIIN: 120622 | Code: 7905  | CHAKRAMPUR HIGH SCHOOL, DINAJPUR
26. EIIN: 120638 | Code: 7919  | UTTAR NALBARI HIGH SCHOOL, DINAJPUR
27. EIIN: 120619 | Code: 7931  | KUMRIA B.L. HIGH SCHOOL, DINAJPUR
28. EIIN: 120615 | Code: 7928  | ANGARPARA HIGH SCHOOL, DINAJPUR
29. EIIN: 120616 | Code: 7930  | KAYEMPUR HIGH SCHOOL, DINAJPUR
30. EIIN: 120281 | Code: 7918  | HASHIMPUR HIGH SCHOOL, DINAJPUR
31. EIIN: 120640 | Code: 7913  | SHAHPARA HIGH SCHOOL, DINAJPUR
32. EIIN: 120637 | Code: 7910  | VERVERI KALITALA HIGH SCHOOL, DINAJPUR
33. EIIN: 120642 | Code: 7911  | ISAMOTI SHAHPARA HIGH SCHOOL, DINAJPUR
34. EIIN: 120623 | Code: 8957  | CHAROK DANGA HIGH SCHOOL, DINAJPUR
35. EIIN: 120625 | Code: 1319  | MAGURMARI HIGH SCHOOL, DINAJPUR
36. EIIN: 120636 | Code: 7939  | TANGUA ADARSHA HIGH SCHOOL, DINAJPUR
37. EIIN: 120632 | Code: 7923  | SUBARANAKHULI SHABUDEB HAT HIGH SCHOOL, DINAJPUR
38. EIIN: 120630 | Code: 7915  | RAMNAGAR HIGH SCHOOL, DINAJPUR
39. EIIN: 120607 | Code: 7906  | HOSENPUR HIGH SCHOOL AND COLLEGE, DINAJPUR
40. EIIN: 120631 | Code: 7908  | BASULI HIGH SCHOOL, DINAJPUR
41. EIIN: 120612 | Code: 7900  | KHANSAMA GOVT. PILOT MODEL HIGH SCHOOL, DINAJPUR
42. EIIN: 120620 | Code: 7932  | CHHATIANGORH SCHOOL & COLLEGE, DINAJPUR
43. EIIN: 120621 | Code: 7901  | KHANSAMA PILOT GIRLS' HIGH SCHOOL, DINAJPUR
44. EIIN: 120653 | Code: 7936  | MOYETREE HIGH SCHOOL, DINAJPUR
45. EIIN: 120644 | Code: 7922  | BALADANGI HIGH SCHOOL, DINAJPUR
46. EIIN: 120608 | Code: 1298  | KHAMARPARA HIGH SCHOOL, DINAJPUR
47. EIIN: 120643 | Code: 1348  | SAKHINA-FAZLUL HAQUE GIRLS' HIGH SCHOOL, DINAJPUR
48. EIIN: 120657 | Code: 7941  | SUSULI GIRLS' HIGH SCHOOL, DINAJPUR
