DISTRICT: KURIGRAM
UPAZILLA: PHULBARI
TOTAL INSTITUTIONS: 34

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
122193 122186 122243 122204 122181 122182 122188 122190 122180 122244 122206 122184 138166 122196 138331 122200 122203 122192 122195 122187 122198 122194 122205 122183 122207 122211 122185 138165 122197 122202 122189 122191 122199 122217

--- INSTITUTION DETAILS ---
 1. EIIN: 122193 | Code: 6967  | BARALAI HIGH SCHOOL, KURIGRAM
 2. EIIN: 122186 | Code: 6956  | GANGERHAT MOHAMMAD ALI SARKER HIGH SCHOOL, KURIGRAM
 3. EIIN: 122243 | Code: 6953  | NAODANGA HIGH SCHOOL AND COLLEGE, KURIGRAM
 4. EIIN: 122204 | Code: 6970  | NAGRAJPUR GIRLS' HIGH SCHOOL, KURIGRAM
 5. EIIN: 122181 | Code: 6952  | KASHIPUR M/L HIGH SCHOOL, KURIGRAM
 6. EIIN: 122182 | Code: 6955  | RABAITARY SHEIKH BROTHERS MULTILATERAL HIGH SCHOOL, KURIGRAM
 7. EIIN: 122188 | Code: 6951  | FULBARI GIRLS' HIGH SCHOOL, KURIGRAM
 8. EIIN: 122190 | Code: 6961  | FULBARI ADARSHA HIGH SCHOOL, KURIGRAM
 9. EIIN: 122180 | Code: 6950  | FULBARI JACHHI MIAN MODEL GOVT. HIGH SCHOOL, KURIGRAM
10. EIIN: 122244 | Code: 6960  | RABAITARI ADARSHA M.L. GIRLS' HIGH SCHOOL & COLLEGE, KURIGRAM
11. EIIN: 122206 | Code: 6973  | EKOTA HIGH SCHOOL, KURIGRAM
12. EIIN: 122184 | Code: 6959  | SHIMULBARI MIAPARA NAZIMUDDIN HIGH SCHOOL, KURIGRAM
13. EIIN: 138166 | Code: 7204  | DASHEAR SHORA SAMONNOYPARA HIGH SCHOOL, KURIGRAM
14. EIIN: 122196 | Code: 6966  | BALARHAT GIRLS' HIGH SCHOOL, KURIGRAM
15. EIIN: 138331 | Code: 7203  | KAMALPUR MAINUL HAQUE HIGH SCHOOL, KURIGRAM
16. EIIN: 122200 | Code: 6962  | GONGARHAT GIRLS' HIGH SCHOOL, KURIGRAM
17. EIIN: 122203 | Code: 6971  | UTTAR RABAITARI HIGH SCHOOL, KURIGRAM
18. EIIN: 122192 | Code: 1249  | UTTAR SHIMULBARI HIGH SCHOOL, KURIGRAM
19. EIIN: 122195 | Code: 6968  | KUTIBARI MODERN HIGH SCHOOL, KURIGRAM
20. EIIN: 122187 | Code: 6957  | NAGARAJPUR HIGH SCHOOL, KURIGRAM
21. EIIN: 122198 | Code: 6969  | BARABHITA GIRLS' HIGH SCHOOL, KURIGRAM
22. EIIN: 122194 | Code: 6964  | SHAH BAZAR HIGH SCHOOL, KURIGRAM
23. EIIN: 122205 | Code: 6972  | AJOWATARI MASTERPARA HIGH SCHOOL, KURIGRAM
24. EIIN: 122183 | Code: 6954  | BARABHITA HIGH SCHOOL, KURIGRAM
25. EIIN: 122207 | Code: 7200  | ANANTAPUR GIRLS' SCHOOL, KURIGRAM
26. EIIN: 122211 | Code: 7205  | NAJAR MAMUD ADORSHA HIGH SCHOOL, KURIGRAM
27. EIIN: 122185 | Code: 6958  | BERAKUTI HAT HIGH SCHOOL, KURIGRAM
28. EIIN: 138165 | Code: 7202  | DASHIAR CHHARA GIRLS' HIGH SCHOOL, KURIGRAM
29. EIIN: 122197 | Code: 6965  | PASCHIM FULMOTI HIGH SCHOOL, KURIGRAM
30. EIIN: 122202 | Code: 6963  | PURBO CHANDRO KHANA HIGH SCHOOL, KURIGRAM
31. EIIN: 122189 | Code: 6974  | RANGAMATI SARDERPARA ADARSHA HIGH SCHOOL, KURIGRAM
32. EIIN: 122191 | Code: 1247  | BALARHAT ADARSHA SCHOOL AND COLLEGE, KURIGRAM
33. EIIN: 122199 | Code: 1233  | ANANTAPUR ADARSHA HIGH SCHOOL, KURIGRAM
34. EIIN: 122217 | Code: 7201  | UTTAR KUTECHANDROKHANA HIGH SCHOOL, KURIGRAM
