DISTRICT: PANCHAGARH
UPAZILLA: TETULIA
TOTAL INSTITUTIONS: 25

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
126166 126176 126159 126195 126171 126172 126174 126167 136045 126165 126175 126178 126164 126173 126170 126169 126158 126162 126168 126157 126156 126155 126161 126160 126163

--- INSTITUTION DETAILS ---
 1. EIIN: 126166 | Code: 8632  | GITALGACH HIGH SCHOOL, PANCHAGARH
 2. EIIN: 126176 | Code: 8637  | BOALMARY GIRLS' HIGH SCHOOL, PANCHAGARH
 3. EIIN: 126159 | Code: 8625  | TETULIA GOVERNMENT PILOT MODEL HIGH SCHOOL, PANCHAGARH
 4. EIIN: 126195 | Code: 8630  | KAZI SAHABUDDIN GIRLS' HIGH SCHOOL, PANCHAGARH
 5. EIIN: 126171 | Code: 8655  | DEBNAGAR HIGH SCHOOL, PANCHAGARH
 6. EIIN: 126172 | Code: 8657  | KALANDIGANJ HIGH SCHOOL, PANCHAGARH
 7. EIIN: 126174 | Code: 8635  | AYUB-UL-HAQUE GIRLS' HIGH SCHOOL, PANCHAGARH
 8. EIIN: 126167 | Code: 8960  | SHALBAHAN GIRLS' HIGH SCHOOL, PANCHAGARH
 9. EIIN: 136045 | Code: 8639  | PAGLI DANGY SESDP HIGH SCHOOL, PANCHAGARH
10. EIIN: 126165 | Code: 8631  | BURABURI MIRZA GOLAM HAFIZ B. L. HIGH SCHOOL, PANCHAGARH
11. EIIN: 126175 | Code: 8656  | NAWAPARA ADARSHA HIGH SCHOOL, PANCHAGARH
12. EIIN: 126178 | Code: 8638  | VELKUGOCH PRAMANIKPARA HIGH SCHOOL, PANCHAGARH
13. EIIN: 126164 | Code: 8653  | MAJHIPARA HIGH SCHOOL, PANCHAGARH
14. EIIN: 126173 | Code: 8636  | MD. MAYNUL HAQ GIRLS' HIGH SCHOOL, PANCHAGARH
15. EIIN: 126170 | Code: 8634  | SIPAIPARA GIRLS' HIGH SCHOOL, PANCHAGARH
16. EIIN: 126169 | Code: 8928  | BEGUM KHALEDA ZIA GIRLS' HIGH SCHOOL, PANCHAGARH
17. EIIN: 126158 | Code: 8627  | SHALBAHAN HIGH SCHOOL, PANCHAGARH
18. EIIN: 126162 | Code: 8654  | AMJUANI HIGH SCHOOL, PANCHAGARH
19. EIIN: 126168 | Code: 1417  | RONOCHANDI HIGH SCHOOL, PANCHAGARH
20. EIIN: 126157 | Code: 8626  | FAKIRPARA B.L HIGH SCHOOL, PANCHAGARH
21. EIIN: 126156 | Code: 8651  | BHAJANPUR BI-LATEREAL HIGH SCHOOL, PANCHAGARH
22. EIIN: 126155 | Code: 8633  | BODA MAINA GURI HIGH SCHOOL, PANCHAGARH
23. EIIN: 126161 | Code: 8628  | AZIZ NAGAR B. L. HIGH SCHOOL, PANCHAGARH
24. EIIN: 126160 | Code: 8652  | HARA DIGHI HIGH SCHOOL, PANCHAGARH
25. EIIN: 126163 | Code: 8629  | SIPAIPARA HIGH SCHOOL, PANCHAGARH
