DISTRICT: RANGPUR
UPAZILLA: BADARGANJ
TOTAL INSTITUTIONS: 50

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
127193 127166 127174 127167 127170 127197 127188 127156 127162 127172 127168 127190 127153 127169 127177 127186 127201 127183 127157 127161 127173 127179 127195 127178 127159 127160 127238 127181 127154 127180 127196 127176 127158 127189 127175 127185 127187 127192 127194 127198 127163 127191 127155 127165 127710 127184 127239 127171 127240 127182

--- INSTITUTION DETAILS ---
 1. EIIN: 127193 | Code: 5687  | KHAMARPARA HIGH SCHOOL, RANGPUR
 2. EIIN: 127166 | Code: 5303  | GOPINATHPUR HAIDARIA HIGH SCHOOL, RANGPUR
 3. EIIN: 127174 | Code: 5467  | MADHUPUR KAZI HAT HIGH SCHOOL, RANGPUR
 4. EIIN: 127167 | Code: 5463  | KALUPARA MAHADIPUR HIGH SCHOOL, RANGPUR
 5. EIIN: 127170 | Code: 8847  | LALBARI HIGH SCHOOL, RANGPUR
 6. EIIN: 127197 | Code: 5686  | ROSTOMABAD HIGH SCHOOL, RANGPUR
 7. EIIN: 127188 | Code: 5685  | GOPINATHPUR SARDAR PARA HIGH SCHOOL, RANGPUR
 8. EIIN: 127156 | Code: 5455  | BAKSHIGANJ BILATERAL HIGH SCHOOL, RANGPUR
 9. EIIN: 127162 | Code: 5459  | GOPALPUR SHEKHER HAT HIGH SCHOOL, RANGPUR
10. EIIN: 127172 | Code: 5302  | HAZIPUR BADIUZZAMAN HIGH SCHOOL, RANGPUR
11. EIIN: 127168 | Code: 5461  | KACHABARI HIGH SCHOOL, RANGPUR
12. EIIN: 127190 | Code: 5682  | MADHUPUR ADARSHA HIGH SCHOOL, RANGPUR
13. EIIN: 127153 | Code: 5688  | CHAMPATOLI HIGH SCHOOL, RANGPUR
14. EIIN: 127169 | Code: 5458  | ASHRAFGANJ HIGH SCHOOL, RANGPUR
15. EIIN: 127177 | Code: 5468  | BADARGANJ COLLEGIATE SCHOOL, RANGPUR
16. EIIN: 127186 | Code: 5683  | PER BISHNUPUR HIGH SCHOOL, RANGPUR
17. EIIN: 127201 | Code: 5926  | MOWAGACH GIRLS' HIGH SCHOOL, RANGPUR
18. EIIN: 127183 | Code: 5473  | DAMODARPUR DHUGDHUGIR HAT HIGH SCHOOL, RANGPUR
19. EIIN: 127157 | Code: 5452  | RADHANAGAR BILATERAL HIGH SCHOOL, RANGPUR
20. EIIN: 127161 | Code: 1137  | AZAD SHALBARI HIGH SCHOOL, RANGPUR
21. EIIN: 127173 | Code: 8843  | BAIRAMPUR HIGH SCHOOL, RANGPUR
22. EIIN: 127179 | Code: 5288  | SHYAMPUR SUGAR MILLS HIGH SCHOOL, RANGPUR
23. EIIN: 127195 | Code: 5677  | KHANABARI HIGH SCHOOL, RANGPUR
24. EIIN: 127178 | Code: 5469  | DILAL PUR HIGH SCHOOL, RANGPUR
25. EIIN: 127159 | Code: 5460  | LOHANIPARA HIGH SCHOOL, RANGPUR
26. EIIN: 127160 | Code: 5475  | NATARAM HIGH SCHOOL, RANGPUR
27. EIIN: 127238 | Code: 5462  | KUTUBPUR ARUN NESSA HIGH SCHOOL, RANGPUR
28. EIIN: 127181 | Code: 5471  | RAJARAMPUR HIGH SCHOOL, RANGPUR
29. EIIN: 127154 | Code: 5925  | GHATABIL SHAHEED SRETY GIRLS' HIGH SCHOOL, RANGPUR
30. EIIN: 127180 | Code: 5465  | AWLIA GONJ HIGH SCHOOL, RANGPUR
31. EIIN: 127196 | Code: 5680  | MOYNAKURI HIGH SCHOOL, RANGPUR
32. EIIN: 127176 | Code: 5464  | PATHAN PARA HIGH SCHOOL, RANGPUR
33. EIIN: 127158 | Code: 5476  | SHYAMPUR HIGH SCHOOL, RANGPUR
34. EIIN: 127189 | Code: 5470  | CHAND KUTIRDANGA GIRLS' HIGH SCHOOL, RANGPUR
35. EIIN: 127175 | Code: 8988  | PANAR HAT GHIRNAI HIGH SCHOOL, RANGPUR
36. EIIN: 127185 | Code: 5684  | UTTAR AMRULBARI HIGH SCHOOL, RANGPUR
37. EIIN: 127187 | Code: 5472  | KALUPARA GUTIR DANGA HIGH SCHOOL, RANGPUR
38. EIIN: 127192 | Code: 5679  | CHANG MARI HIGH SCHOOL, RANGPUR
39. EIIN: 127194 | Code: 5675  | MUKSUDPUR HIGH SCHOOL, RANGPUR
40. EIIN: 127198 | Code: 5678  | KHIAR PARA HIGH SCHOOL, RANGPUR
41. EIIN: 127163 | Code: 5457  | BADARGANJ GOVT. GIRLS' HIGH SCHOOL, RANGPUR
42. EIIN: 127191 | Code: 5681  | OSMANPUR HIGH SCHOOL, RANGPUR
43. EIIN: 127155 | Code: 5676  | CHOWDHURYPARA GIRLS' HIGH SCHOOL, RANGPUR
44. EIIN: 127165 | Code: 5454  | BURIR PUKUR HIGH SCHOOL, RANGPUR
45. EIIN: 127710 | Code: 5456  | KALIGANJ HIGH SCHOOL, RANGPUR
46. EIIN: 127184 | Code: 5474  | AMRUL BARI HIGH SCHOOL, RANGPUR
47. EIIN: 127239 | Code: 5450  | BADARGANJ MODEL MULTILATERAL HIGH SCHOOL, RANGPUR
48. EIIN: 127171 | Code: 5453  | LALDIGHI WAKF ESTATE BI-LATERAL HIGH SCHOOL, RANGPUR
49. EIIN: 127240 | Code: 5451  | KUTUBPUR BILATERAL HIGH SCHOOL AND COLLEGE, RANGPUR
50. EIIN: 127182 | Code: 8855  | V. I. P. SHAHADAT HOSSAIN HIGH SCHOOL, RANGPUR
