DISTRICT: RANGPUR
UPAZILLA: KAUNIA
TOTAL INSTITUTIONS: 35

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
127304 127332 127310 127323 127322 127312 127303 127308 127309 127361 127331 127306 127320 127319 127330 127329 127325 127313 127338 127315 127311 127305 127335 127326 127328 127324 127337 127318 127321 127327 127317 127307 127316 127314 127334

--- INSTITUTION DETAILS ---
 1. EIIN: 127304 | Code: 5559  | KHOPATI HIGH SCHOOL, RANGPUR
 2. EIIN: 127332 | Code: 5570  | NIZDARPA HIGH SCHOOL, RANGPUR
 3. EIIN: 127310 | Code: 5554  | DHARMESWAR MOHESHA BILATERAL HIGH SCHOOL, RANGPUR
 4. EIIN: 127323 | Code: 5569  | NAZIRDH AQOTA HIGH SCHOOL, RANGPUR
 5. EIIN: 127322 | Code: 1139  | BHAIR HAT GIRLS' HIGH SCHOOL, RANGPUR
 6. EIIN: 127312 | Code: 5576  | DARADI HIGH SCHOOL, RANGPUR
 7. EIIN: 127303 | Code: 5562  | SARAI MUNSHIPARA HIGH SCHOOL, RANGPUR
 8. EIIN: 127308 | Code: 5552  | TEPA MADHUPUR-BL- HIGH SCHOOL, RANGPUR
 9. EIIN: 127309 | Code: 5575  | DHUMERKUTI HAIDARIA B.L. HIGH SCHOOL, RANGPUR
10. EIIN: 127361 | Code: 5553  | TEPA MADHUPUR GIRLS' HIGH SCHOOL, RANGPUR
11. EIIN: 127331 | Code: 5571  | ARAJE SAHABAJ HIGH SCHOOL, RANGPUR
12. EIIN: 127306 | Code: 5551  | KAUNIA BL. GIRLS' HIGH SCHOOL, RANGPUR
13. EIIN: 127320 | Code: 1140  | BHAYAR HAT HIGH SCHOOL, RANGPUR
14. EIIN: 127319 | Code: 5556  | BARUA HAT HIGH SCHOOL, RANGPUR
15. EIIN: 127330 | Code: 5565  | ALEF UDDIN SARKER HIGH SCHOOL, RANGPUR
16. EIIN: 127329 | Code: 5567  | MIRBAGH GIRLS' HIGH SCHOOL, RANGPUR
17. EIIN: 127325 | Code: 5568  | SARAI PODDAR PARA HIGH SCHOOL, RANGPUR
18. EIIN: 127313 | Code: 5579  | IMAMGANJ SCHOOL AND COLLEGE, RANGPUR
19. EIIN: 127338 | Code: 5573  | SHIBU HIGH SCHOOL, RANGPUR
20. EIIN: 127315 | Code: 5555  | SHAHIDBAG SCHOOL AND COLLEGE, RANGPUR
21. EIIN: 127311 | Code: 5550  | KAUNIA MOFAZZAL HOSSAIN GOVT. MODEL HIGH SCHOOL, RANGPUR
22. EIIN: 127305 | Code: 5564  | ALHAJ A. GAFUR HIGH SCHOOL, RANGPUR
23. EIIN: 127335 | Code: 5725  | SHAHIDBAG GIRLS' HIGH SCHOOL, RANGPUR
24. EIIN: 127326 | Code: 5624  | HALDIBARI DWI-MUKHI HIGH SCHOOL, RANGPUR
25. EIIN: 127328 | Code: 5572  | UDAY NARAYAN MACHHARY HIGH SCHOOL, RANGPUR
26. EIIN: 127324 | Code: 5561  | POLLYMARI HIGH SCHOOL, RANGPUR
27. EIIN: 127337 | Code: 5574  | PRANNATH ADARSHA HIGH SCHOOL, RANGPUR
28. EIIN: 127318 | Code: 5578  | NABIZAN NESSA BI-LATERAL GIRLS' HIGH SCHOOL, RANGPUR
29. EIIN: 127321 | Code: 5560  | GAZIRHAT HIGH SCHOOL, RANGPUR
30. EIIN: 127327 | Code: 5566  | ISLAMIA HIGH SCHOOL, RANGPUR
31. EIIN: 127317 | Code: 5563  | AHMED ALI HIGH SCHOOL, RANGPUR
32. EIIN: 127307 | Code: 5577  | HARAGACH MULTILATERAL HIGH SCHOOL, RANGPUR
33. EIIN: 127316 | Code: 8846  | KURSHA HIGH SCHOOL, RANGPUR
34. EIIN: 127314 | Code: 5580  | MADAMUDAN HIGH SCHOOL, RANGPUR
35. EIIN: 127334 | Code: 5622  | BANGALABAZAR HIGH SCHOOL, RANGPUR
