DISTRICT: RANGPUR
UPAZILLA: TARAGANJ
TOTAL INSTITUTIONS: 18

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
131028 127953 127980 127960 127948 127981 127950 127979 127956 127962 127959 131022 127949 127955 127951 127954 127961 127958

--- INSTITUTION DETAILS ---
 1. EIIN: 131028 | Code: 5642  | TARAGANJ SHISHU NIKATON, RANGPUR
 2. EIIN: 127953 | Code: 5635  | FAZILPUR HIGH SCHOOL, RANGPUR
 3. EIIN: 127980 | Code: 5626  | TARAGONJ WAQF ESTATE GIRLS' SCHOOL AND COLLEGE, RANGPUR
 4. EIIN: 127960 | Code: 5641  | LUXMIPUR BIRABARI HAT HIGH SCHOOL, RANGPUR
 5. EIIN: 127948 | Code: 5625  | TARAGANJ W/E GOVERNMENT MODEL HIGH SCHOOL, RANGPUR
 6. EIIN: 127981 | Code: 5632  | SAYER KAZI PARA SCHOOL AND COLLEGE, RANGPUR
 7. EIIN: 127950 | Code: 5629  | KASHIABARI SCHOOL AND COLLEGE, RANGPUR
 8. EIIN: 127979 | Code: 5630  | DANGIR HAT SCHOOL AND COLLEGE, RANGPUR
 9. EIIN: 127956 | Code: 5637  | KURSHA ADARSHA HIGH SCHOOL, RANGPUR
10. EIIN: 127962 | Code: 5643  | EKARCHALI GIRLS' HIGH SCHOOL, RANGPUR
11. EIIN: 127959 | Code: 5638  | CHANDER PUKUR GIRLS' HIGH SCHOOL, RANGPUR
12. EIIN: 131022 | Code: 8844  | CHILAPAK HIGH SCHOOL, RANGPUR
13. EIIN: 127949 | Code: 5628  | BURIR HAT HIGH SCHOOL, RANGPUR
14. EIIN: 127955 | Code: 5631  | IKARCHALI HIGH SCHOOL, RANGPUR
15. EIIN: 127951 | Code: 5627  | TETULTOLA HIGH SCHOOL, RANGPUR
16. EIIN: 127954 | Code: 5633  | BARATI HIGH SCHOOL, RANGPUR
17. EIIN: 127961 | Code: 5640  | HATIBANDHA HIGH SCHOOL, RANGPUR
18. EIIN: 127958 | Code: 5639  | GHANIRAMPUR BAROGOLA HIGH SCHOOL, RANGPUR
