DISTRICT: THAKURGAON
UPAZILLA: BALIADANGI
TOTAL INSTITUTIONS: 36

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
128697 128713 128704 128699 128771 128695 128731 128701 128730 128708 128694 128698 128710 128688 128719 128711 128714 128715 128696 128706 128703 128689 128702 128707 128705 128687 128700 128718 128692 128725 128690 128709 128712 128716 128693 128691

--- INSTITUTION DETAILS ---
 1. EIIN: 128697 | Code: 8434  | DOLUA HIGH SCHOOL, THAKURGAON
 2. EIIN: 128713 | Code: 8438  | VANDARDAHA HIGH SCHOOL, THAKURGAON
 3. EIIN: 128704 | Code: 1364  | FARABARI KUSHUMUDDIN HIGH SCHOOL, THAKURGAON
 4. EIIN: 128699 | Code: 8337  | HARINMARI HIGH SCHOOL, THAKURGAON
 5. EIIN: 128771 | Code: 8426  | KALMEGH RAMJAN ALI HIGH SCHOOL AND COLLEGE, THAKURGAON
 6. EIIN: 128695 | Code: 8433  | BHANOR NANGTIHARA HIGH SCHOOL, THAKURGAON
 7. EIIN: 128731 | Code: 9056  | IDEAL HIGH SCHOOL, THAKURGAON
 8. EIIN: 128701 | Code: 8437  | LOLPUKUR DUOSUO MOHISHMARI HIGH SCHOOL, THAKURGAON
 9. EIIN: 128730 | Code: 9054  | SABAJPUR HIGH SCHOOL, THAKURGAON
10. EIIN: 128708 | Code: 8442  | KUSHALDANGI HIGH SCHOOL, THAKURGAON
11. EIIN: 128694 | Code: 8924  | RAIMAHAL HIGH SCHOOL, THAKURGAON
12. EIIN: 128698 | Code: 8435  | LAHIRI GIRLS' HIGH SCHOOL, THAKURGAON
13. EIIN: 128710 | Code: 8440  | DOGACHHI GIRLS' HIGH SCHOOL, THAKURGAON
14. EIIN: 128688 | Code: 8432  | BALIADANGI GOVT. GIRLS' HIGH SCHOOL, THAKURGAON
15. EIIN: 128719 | Code: 9053  | RATNAI GIRLS' HIGH SCHOOL, THAKURGAON
16. EIIN: 128711 | Code: 9050  | KALOMEGH GIRLS' HIGH SCHOOL, THAKURGAON
17. EIIN: 128714 | Code: 8444  | MODHUPUR HIGH SCHOOL, THAKURGAON
18. EIIN: 128715 | Code: 8448  | HALDIBARI GIRLS' HIGH SCHOOL, THAKURGAON
19. EIIN: 128696 | Code: 8923  | MACHHKHURIA HIGH SCHOOL, THAKURGAON
20. EIIN: 128706 | Code: 8447  | GANDIKARI ADARSHA HIGH SCHOOL, THAKURGAON
21. EIIN: 128703 | Code: 8336  | DOGACHHI HIGH SCHOOL, THAKURGAON
22. EIIN: 128689 | Code: 8427  | CHARTA HIGH SCHOOL, THAKURGAON
23. EIIN: 128702 | Code: 8443  | LOHAGARA HIGH SCHOOL, THAKURGAON
24. EIIN: 128707 | Code: 8439  | DHANIRHAT HIGH SCHOOL, THAKURGAON
25. EIIN: 128705 | Code: 8441  | DUOSUO HIGH SCHOOL, THAKURGAON
26. EIIN: 128687 | Code: 8425  | BALIADANGI PILOT MODEL HIGH SCHOOL, THAKURGAON
27. EIIN: 128700 | Code: 8445  | MORAL HAT JANATA HIGH SCHOOL, THAKURGAON
28. EIIN: 128718 | Code: 8446  | CHOWRANGI HIGH SCHOOL, THAKURGAON
29. EIIN: 128692 | Code: 8429  | BARA PALASHBARI HIGH SCHOOL, THAKURGAON
30. EIIN: 128725 | Code: 9055  | DHONTOLA HIGH SCHOOL, THAKURGAON
31. EIIN: 128690 | Code: 8430  | LAHIRI MULTI-LATERAL HIGH SCHOOL, THAKURGAON
32. EIIN: 128709 | Code: 9051  | BALIADANGI COLLEGIATE HIGH SCHOOL, THAKURGAON
33. EIIN: 128712 | Code: 8436  | CHAROL HIGH SCHOOL, THAKURGAON
34. EIIN: 128716 | Code: 8449  | GOALKARI HIGH SCHOOL, THAKURGAON
35. EIIN: 128693 | Code: 8431  | RATNAI BAGULA BARI HIGH SCHOOL, THAKURGAON
36. EIIN: 128691 | Code: 8428  | KHOCHABARI (2) HIGH SCHOOL, THAKURGAON
