DISTRICT: THAKURGAON
UPAZILLA: HARIPUR
TOTAL INSTITUTIONS: 36

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
128784 128802 128776 128774 128775 128804 128772 128800 128777 128801 128816 128789 128778 128790 128773 128809 128779 128785 128786 128791 128782 128798 128783 128805 128787 128817 128788 128793 128792 128795 128794 128799 128803 128810 128796 128781

--- INSTITUTION DETAILS ---
 1. EIIN: 128784 | Code: 1363  | DHIRGONJ HIGH SCHOOL, THAKURGAON
 2. EIIN: 128802 | Code: 8413  | DANGIPARA HIGH SCHOOL, THAKURGAON
 3. EIIN: 128776 | Code: 8405  | RUHUL AMIN KANTHALDANGI HIGH SCHOOL, THAKURGAON
 4. EIIN: 128774 | Code: 8403  | BONGAON HIGH SCHOOL, THAKURGAON
 5. EIIN: 128775 | Code: 8402  | TORRAH HAFIZIA HIGH SCHOOL, THAKURGAON
 6. EIIN: 128804 | Code: 9079  | RUHEYA HIGH SCHOOL, THAKURGAON
 7. EIIN: 128772 | Code: 8400  | HARIPUR GOVERNMENT PILOT HIGH SCHOOL, THAKURGAON
 8. EIIN: 128800 | Code: 8420  | MASHANGOAN HIGH SCHOOL, THAKURGAON
 9. EIIN: 128777 | Code: 8406  | RANHATTA CHOWRANGI HIGH SCHOOL, THAKURGAON
10. EIIN: 128801 | Code: 8423  | RAMPUR BHATURIA GIRLS' HIGH SCHOOL, THAKURGAON
11. EIIN: 128816 | Code: 9081  | THAKI THUKI HIGH SCHOOL, THAKURGAON
12. EIIN: 128789 | Code: 8414  | KAMARPUKUR HIGH SCHOOL, THAKURGAON
13. EIIN: 128778 | Code: 8409  | AMGAON JAMUN HIGH SCHOOL, THAKURGAON
14. EIIN: 128790 | Code: 9076  | MEDNI SAGOR HIGH SCHOOL, THAKURGAON
15. EIIN: 128773 | Code: 8401  | JADURANI HIGH SCHOOL, THAKURGAON
16. EIIN: 128809 | Code: 9078  | B. S HIGH SCHOOL, THAKURGAON
17. EIIN: 128779 | Code: 8917  | BHATURIA HIGH SCHOOL, THAKURGAON
18. EIIN: 128785 | Code: 8417  | BAHATH HIGH SCHOOL, THAKURGAON
19. EIIN: 128786 | Code: 1389  | RANAHATTA CHOWRANGI GIRLS' HIGH SCHOOL, THAKURGAON
20. EIIN: 128791 | Code: 8410  | DHULA MEDNI SAGAR GIRLS' HIGH SCHOOL, THAKURGAON
21. EIIN: 128782 | Code: 8407  | TAJUL ISLAM UNION SECONDARY SCHOOL, THAKURGAON
22. EIIN: 128798 | Code: 8419  | BALUYA HIGH SCHOOL, THAKURGAON
23. EIIN: 128783 | Code: 8408  | KATHAL DANGI GIRLS' HIGH SCHOOL, THAKURGAON
24. EIIN: 128805 | Code: 9077  | BIRGAR HIGH SCHOOL, THAKURGAON
25. EIIN: 128787 | Code: 1368  | JADURANI GIRLS' HIGH SCHOOL, THAKURGAON
26. EIIN: 128817 | Code: 9080  | RUHIA DHUKURIA MANIKKHARI HIGH SCHOOL, THAKURGAON
27. EIIN: 128788 | Code: 1390  | ATGHARIA HIGH SCHOOL, THAKURGAON
28. EIIN: 128793 | Code: 8411  | TORRAH GIRLS' HIGH SCHOOL, THAKURGAON
29. EIIN: 128792 | Code: 8415  | SHITOLPUR HIGH SCHOOL, THAKURGAON
30. EIIN: 128795 | Code: 8421  | JAMUN GIRLS' HIGH SCHOOL, THAKURGAON
31. EIIN: 128794 | Code: 8412  | BROMPUR GIRLS' HIGH SCHOOL, THAKURGAON
32. EIIN: 128799 | Code: 8416  | TENGRIA HIGH SCHOOL, THAKURGAON
33. EIIN: 128803 | Code: 8424  | AMGAON CENTRAL HIGH SCHOOL, THAKURGAON
34. EIIN: 128810 | Code: 8418  | KHOLORA ADARSHA HIGH SCHOOL, THAKURGAON
35. EIIN: 128796 | Code: 8422  | MAHENDRAGOAN HIGH SCHOOL, THAKURGAON
36. EIIN: 128781 | Code: 8404  | HARIPUR GIRLS' HIGH SCHOOL, THAKURGAON
