DISTRICT: THAKURGAON
UPAZILLA: RANISANKAIL
TOTAL INSTITUTIONS: 47

--- SPACE SEPARATED EIINS (READY TO PASTE INTO SCRAPER) ---
128985 129006 128980 128990 129013 128991 129010 128986 129025 129015 128999 128994 128983 129019 128981 129008 129011 129014 128978 129001 129005 128992 128987 128989 128988 129024 128993 129003 129030 129012 128984 129018 129023 129017 128979 129009 129004 129022 128995 128996 129020 128997 128982 129007 128998 129000 129002

--- INSTITUTION DETAILS ---
 1. EIIN: 128985 | Code: 8353  | MIRDANGI HIGH SCHOOL, THAKURGAON
 2. EIIN: 129006 | Code: 8478  | KARNIT ADARSHA HIGH SCHOOL, THAKURGAON
 3. EIIN: 128980 | Code: 8350  | RANI SANKAIL PILOT BOYS HIGH SCHOOL, THAKURGAON
 4. EIIN: 128990 | Code: 8359  | KENDRIO HIGH SCHOOL, THAKURGAON
 5. EIIN: 129013 | Code: 8374  | BOROPUKUR NEKMORAD FARIDPARA HIGH SCHOOL, THAKURGAON
 6. EIIN: 128991 | Code: 8356  | KATIHAR HIGH SCHOOL, THAKURGAON
 7. EIIN: 129010 | Code: 8371  | GOGORE GIRLS' HIGH SCHOOL, THAKURGAON
 8. EIIN: 128986 | Code: 8352  | GOGOR ABDUL JABBER HIGH SCHOOL, THAKURGAON
 9. EIIN: 129025 | Code: 8480  | A.B. FULBARI HIGH SCHOOL, THAKURGAON
10. EIIN: 129015 | Code: 8485  | B. M. S. GIRLS' HIGH SCHOOL, THAKURGAON
11. EIIN: 128999 | Code: 8477  | BHOMRAGHAT HIGH SCHOOL, THAKURGAON
12. EIIN: 128994 | Code: 8366  | MOHARAJA HAT HIGH SCHOOL, THAKURGAON
13. EIIN: 128983 | Code: 8364  | JAOGAON HIGH SCHOOL, THAKURGAON
14. EIIN: 129019 | Code: 8475  | BASHBARI NOYANPUR GIRLS' HIGH SCHOOL, THAKURGAON
15. EIIN: 128981 | Code: 8351  | ROUTHNAGAR B.L HIGH SCHOOL, THAKURGAON
16. EIIN: 129008 | Code: 8344  | BOLIDARA HIGH SCHOOL, THAKURGAON
17. EIIN: 129011 | Code: 8373  | RAGHOBPUR HIGH SCHOOL, THAKURGAON
18. EIIN: 129014 | Code: 8483  | PADAMPUR HIGH SCHOOL, THAKURGAON
19. EIIN: 128978 | Code: 8354  | RANISANKAIL GOVT. GIRLS' HIGH SCHOOL, THAKURGAON
20. EIIN: 129001 | Code: 1365  | HAZI DABIR UDDIN CHOWDHURY GRILS HIGH SCHOOL, THAKURGAON
21. EIIN: 129005 | Code: 8481  | BANGLAGAR HIGH SCHOOL, THAKURGAON
22. EIIN: 128992 | Code: 8358  | GAZIR HAT MOJAHAR ALI HIGH SCHOOL, THAKURGAON
23. EIIN: 128987 | Code: 8363  | BANGAON ABU ZAHID HIGH SCHOOL, THAKURGAON
24. EIIN: 128989 | Code: 8362  | KISMAT SINDAGAR HIGH SCHOOL, THAKURGAON
25. EIIN: 128988 | Code: 8361  | BALANCHA N. A. C. HIGH SCHOOL, THAKURGAON
26. EIIN: 129024 | Code: 8338  | BHANGBARI HIGH SCHOOL, THAKURGAON
27. EIIN: 128993 | Code: 8360  | NEKMORD KUSHUM UDDIN GIRLS' HIGH SCHOOL, THAKURGAON
28. EIIN: 129003 | Code: 8281  | ALSIA BHAKARGAON AKOTA HIGH SCHOOL, THAKURGAON
29. EIIN: 129030 | Code: 8487  | NEANPUR ADARSHO GIRLS' HIGH SCHOOL, THAKURGAON
30. EIIN: 129012 | Code: 8345  | DHULJHARI SCHOOL AND COLLEGE, THAKURGAON
31. EIIN: 128984 | Code: 8365  | RATOR HIGH SCHOOL, THAKURGAON
32. EIIN: 129018 | Code: 8372  | R.V. HIGH SCHOOL, THAKURGAON
33. EIIN: 129023 | Code: 8479  | PAKAMBA HIGH SCHOOL, THAKURGAON
34. EIIN: 129017 | Code: 8370  | CHOPRA DOSHIA (C.D) HIGH SCHOOL, THAKURGAON
35. EIIN: 128979 | Code: 8355  | NEK MORD ALIMUDDIN GOVT. HIGH SCHOOL, THAKURGAON
36. EIIN: 129009 | Code: 8369  | BHELAI MALTIVATA HIGH SCHOOL, THAKURGAON
37. EIIN: 129004 | Code: 8339  | KASHIPUR BOTTALA HIGH SCHOOL, THAKURGAON
38. EIIN: 129022 | Code: 8486  | MALIVITA GIRLS' HIGH SCHOOL, THAKURGAON
39. EIIN: 128995 | Code: 8367  | BHORNIA HAT HIGH SCHOOL, THAKURGAON
40. EIIN: 128996 | Code: 8280  | LAXMIR HAT HIGH SCHOOL, THAKURGAON
41. EIIN: 129020 | Code: 8484  | JAGDAL HIGH SCHOOL, THAKURGAON
42. EIIN: 128997 | Code: 1362  | CHAPOR PARBOTIPUR HIGH SCHOOL, THAKURGAON
43. EIIN: 128982 | Code: 8357  | KADIHAT HIGH SCHOOL, THAKURGAON
44. EIIN: 129007 | Code: 8482  | CHAPOR PARBOTIPUR ADARSHA GIRLS' HIGH SCHOOL, THAKURGAON
45. EIIN: 128998 | Code: 8925  | SIDLY HIGH SCHOOL, THAKURGAON
46. EIIN: 129000 | Code: 8368  | KADIHAT K.D. GIRLS' HIGH SCHOOL, THAKURGAON
47. EIIN: 129002 | Code: 8476  | BHANDAGRAM HIGH SCHOOL, THAKURGAON
