===================================================================================
       DINAJPUR EDUCATION BOARD — COMPLETE HSC COLLEGE & EIIN MASTER LIST
       Total Verified HSC Institutions: 875 across 8 Districts
===================================================================================


############################# DINAJPUR DISTRICT (166 Institutions) #############################

EIIN       | TYPE                                 | INSTITUTION NAME
------------------------------------------------------------------------------------------------
120019     | General College (HSC)                | Beparitola Adarsha College
120620     | General College (HSC)                | Chhatiangorh School And College
138122     | General College (HSC)                | Mount Everest College
133785     | Government College                   | Dinajpur Govt. City College
120818     | Government College                   | Dinajpur Govt. College
120822     | Government College                   | Dinajpur Govt. Women S College
120451     | Government College                   | Fulbari Govt. College
132271     | Government Technical And Vocational  | Dinajpur Technical School And College
132461     | Government Technical And Vocational  | Parbatipur Technical School And College
120131     | Local Government School And College  | Dalua High School And College
120398     | Local Government School And College  | Khochna S.C. High School And College
120942     | Non-government College               | Aftabganj College
120939     | Non-government College               | Aftabganj Women S College
120701     | Non-government College               | Alokdihi Ideal College
121060     | Non-government College               | Ambari College
120390     | Non-government College               | Ambari Women S College
120449     | Non-government College               | Bangabandhu College
120698     | Non-government College               | Banglavasha College M.P. Bazar
121061     | Non-government College               | Bhawanipur College
120397     | Non-government College               | Binnya Kuri College
120021     | Non-government College               | Birampur College
120022     | Non-government College               | Birampur Women S College
120127     | Non-government College               | Birganj College
120125     | Non-government College               | Birganj Women S College Dinajpur
120126     | Non-government College               | Birgonj T. B. M. College
120197     | Non-government College               | Birol College
120201     | Non-government College               | Birol Women S College
120198     | Non-government College               | Board Hat College
120603     | Non-government College               | Bulia Bazar College
120824     | Non-government College               | Chandganj College
120944     | Non-government College               | Chararhat Shahid Smriti College
120825     | Non-government College               | Chehel Gazi College
120391     | Non-government College               | Chirir Bandar College
120392     | Non-government College               | Chirirbandar Women S College
120938     | Non-government College               | Daudpur College
120817     | Non-government College               | Daxmin Kotoali College
120268     | Non-government College               | Deogaon Bokultala College
120200     | Non-government College               | Dhukurjhari College
120820     | Non-government College               | Dinajpur Adarsha College
120819     | Non-government College               | Dinajpur Islamia Women S College
120816     | Non-government College               | Dinajpur K. B. M. College
120821     | Non-government College               | Dinajpur Sangeet College
120502     | Non-government College               | Dugdugihat College
120827     | Non-government College               | Fashiladanga College
120395     | Non-government College               | Fatejangpur College
120452     | Non-government College               | Fulbari Women S College Dinajpur
120828     | Non-government College               | Gawshul Azam College
120498     | Non-government College               | Ghoraghat Adarsha College
120499     | Non-government College               | Ghoraghat College
120501     | Non-government College               | Ghoraghat Women S College
120128     | Non-government College               | Golapganj College
120272     | Non-government College               | Haji Danesh College
120538     | Non-government College               | Hakimpur College
120539     | Non-government College               | Hakimpur Women S College Dinajpur
135435     | Non-government College               | Hasan Ali Chowdhury College
120269     | Non-government College               | Hat Rampur College
135372     | Non-government College               | Holy Land College
120700     | Non-government College               | Hosenpur High School And College
120393     | Non-government College               | Ichhamati College
120388     | Non-government College               | Ichhamoti Women S College Chirirbandar Dinajpur
120202     | Non-government College               | Jagatpur College Dinajpur
120129     | Non-government College               | Jharbari College Dinajpur
120601     | Non-government College               | Joynanda College
135416     | Non-government College               | Kabiraj Hat College
136522     | Non-government College               | Kachinia Adarsho Women S College
120600     | Non-government College               | Kaharol College
120602     | Non-government College               | Kaharole Women S College
120203     | Non-government College               | Kanchan New Model College
120394     | Non-government College               | Karent Hat College
120023     | Non-government College               | Katla College
120020     | Non-government College               | Ketrahat College
120697     | Non-government College               | Khansama College
120699     | Non-government College               | Khansama Women S College
121056     | Non-government College               | Kholahati College
121063     | Non-government College               | Madhya Para College
120453     | Non-government College               | Madilahat College
120271     | Non-government College               | Maherpur College
120199     | Non-government College               | Mainul Hasan College
120940     | Non-government College               | Mogarpara College Dinajpur
121057     | Non-government College               | Monmathpur Ideal College Dinajpur
131991     | Non-government College               | Munshipara Adarsha College
120941     | Non-government College               | Nawabganj College
120943     | Non-government College               | Nawabganj Women S College
120696     | Non-government College               | Pakerhat College
135294     | Non-government College               | Palash Bari M.S.Gopal Model College
120823     | Non-government College               | Panchbari College
121059     | Non-government College               | Parbatipur Adarsha College
121058     | Non-government College               | Parbatipur College
121062     | Non-government College               | Parbatipur Women S College
133787     | Non-government College               | Purba Mallikpur H.S. College
120604     | Non-government College               | Purba Mallikpur Women S College
120945     | Non-government College               | Raghunathpur College
120500     | Non-government College               | Raniganj Women S College
120396     | Non-government College               | Ranirbandar Women S College
120267     | Non-government College               | Setabganj College
120270     | Non-government College               | Setabgonj Women S College
